text,topic
"Pemerintah sibuk kampanye, tapi jalan rusak gak diperbaiki",Politik
Janji politik cuma manis di awal,Politik
Sidang DPR rame banget hari ini,Politik
Kebijakan pajak baru bikin warga resah,Politik
Demo buruh di depan istana makin ramai,Politik
Anak pejabat korupsi lagi-lagi gak ditindak tegas,Politik
Parpol mulai deklarasi calon presiden baru,Politik
Kinerja menteri menurun drastis,Politik
"Kebijakan subsidi dicabut, rakyat menderita",Politik
Presiden harus turun tangan soal harga beras,Politik
Rapat kabinet membahas kenaikan BBM,Politik
Warga protes soal bansos yang gak tepat sasaran,Politik
Politisi itu janji terus tapi gak ada bukti,Politik
Rakyat mulai jenuh sama drama politik,Politik
Media terlalu berpihak ke partai tertentu,Politik
Debat capres semalam panas banget,Politik
Harga bahan bakar naik lagi minggu depan,Ekonomi
Dollar menguat terhadap rupiah,Ekonomi
Investor asing mulai masuk ke pasar Indonesia,Ekonomi
UMKM butuh bantuan modal lebih besar,Ekonomi
Ekonomi digital tumbuh pesat tahun ini,Ekonomi
Inflasi bulan ini lebih tinggi dari sebelumnya,Ekonomi
BI pertahankan suku bunga acuan,Ekonomi
Bursa saham merah sejak pagi,Ekonomi
Kredit rumah makin sulit disetujui,Ekonomi
Pendapatan masyarakat menurun sejak pandemi,Ekonomi
Perusahaan startup PHK karyawan lagi,Ekonomi
Ekspor sawit turun 10% tahun ini,Ekonomi
Pengusaha minta insentif pajak diperpanjang,Ekonomi
Rupiah melemah di pasar global,Ekonomi
Jalan Sudirman macet parah tiap pagi,Transportasi
"KRL telat lagi, padahal udah berangkat pagi",Transportasi
Angkot ngetem terlalu lama bikin penumpang kesal,Transportasi
Kereta cepat akhirnya resmi beroperasi,Transportasi
Motor listrik makin banyak di jalanan,Transportasi
Tol Trans Jawa lancar banget pagi ini,Transportasi
Bus kota baru nyaman banget,Transportasi
Kecelakaan di tol Cipularang malam ini,Transportasi
Parkir di bandara makin mahal,Transportasi
Truk besar bikin macet sepanjang jalan,Transportasi
"Konser kemarin gila banget, crowd-nya rame parah",Musik / Hiburan
Film baru itu keren banget!,Musik / Hiburan
Musik indie makin digemari anak muda,Musik / Hiburan
Drama Korea ini bikin nangis terus,Musik / Hiburan
Konten YouTuber itu lucu banget sumpah,Musik / Hiburan
Artis favoritku akhirnya comeback!,Musik / Hiburan
Festival musik minggu depan bakal rame,Musik / Hiburan
Series Netflix baru wajib nonton deh,Musik / Hiburan
Lagu barunya bikin baper banget,Musik / Hiburan
Stand up comedy semalam ngakak abis,Musik / Hiburan
Bakso urat di sini mantap banget,Kuliner
Kopi susu gula aren ini favoritku,Kuliner
Restoran Jepang itu baru buka di mall,Kuliner
Sate ayamnya bumbunya ngena banget,Kuliner
"Es krimnya lembut banget, gak bikin enek",Kuliner
Martabak manisnya tebal dan cokelatnya banyak,Kuliner
Nasi goreng kambingnya juara banget,Kuliner
Tempat makannya bersih dan cozy,Kuliner
Minuman matcha-nya enak banget,Kuliner
Makanan di warung itu murah tapi enak,Kuliner
"Server down lagi, gak bisa login ke aplikasi",Teknologi
HP baruku baterainya boros banget,Teknologi
Update sistem bikin aplikasi crash,Teknologi
AI sekarang udah bisa bikin gambar realistis,Teknologi
Startup baru ini keren banget idenya,Teknologi
Internet lemot banget hari ini,Teknologi
Fitur baru Instagram mirip TikTok,Teknologi
"Data user bocor lagi, kok gak belajar sih?",Teknologi
Chatbot-nya makin pintar sekarang,Teknologi
"Komputer kantor kena virus, parah banget",Teknologi
Donasi untuk korban gempa terus berdatangan,Sosial
Relawan bantu warga di lokasi banjir,Sosial
Kampanye lingkungan harus digalakkan terus,Sosial
Banyak anak putus sekolah di daerah terpencil,Sosial
Komunitas peduli hewan adakan acara adopsi,Sosial
Acara sosial kemarin berjalan lancar,Sosial
Gerakan tanam pohon serentak dilakukan hari ini,Sosial
Yayasan bantu anak yatim di bulan Ramadan,Sosial
Donor darah massal diadakan di kampus,Sosial
Mahasiswa turun aksi bela rakyat kecil,Sosial
Timnas menang besar semalam!,Olahraga
Messi cetak hattrick lagi,Olahraga
Liga Inggris makin seru musim ini,Olahraga
Fans bola rame debat di Twitter,Olahraga
Pebulu tangkis Indonesia juara lagi!,Olahraga
Pertandingan final penuh drama,Olahraga
Sepeda santai bareng komunitas minggu pagi,Olahraga
Jadwal pertandingan ditunda karena hujan,Olahraga
Latihan rutin biar stamina tetap fit,Olahraga
Coach-nya keren banget strategi barunya,Olahraga
